anio,codigo_departamento,nombre_departamento,codigo_distrito,nombre_distrito,codigo_zona,nombre_zona,sector_o_tipo_gestion,cantidad_matriculados_hombre,cantidad_matriculados_mujer,total_matriculados
2023,17,Alto Paraguay,4,Bahía Negra,1,Urbana,Oficial,244,205,449
2023,17,Alto Paraguay,4,Bahía Negra,2,Rural,Privado,11,18,29
2023,17,Alto Paraguay,4,Bahía Negra,2,Rural,Oficial,88,105,193
2023,17,Alto Paraguay,5,Carmelo Peralta,2,Rural,Oficial,347,337,684
2023,17,Alto Paraguay,5,Carmelo Peralta,1,Urbana,Oficial,271,223,494
2023,17,Alto Paraguay,1,Fuerte Olimpo,1,Urbana,Oficial,401,374,775
2023,17,Alto Paraguay,1,Fuerte Olimpo,2,Rural,Privado Subvencionado,95,79,174
2023,17,Alto Paraguay,1,Fuerte Olimpo,2,Rural,Privado,4,9,13
2023,17,Alto Paraguay,1,Fuerte Olimpo,2,Rural,Oficial,235,235,470
2023,17,Alto Paraguay,1,Fuerte Olimpo,1,Urbana,Privado,6,10,16
2023,17,Alto Paraguay,2,Puerto Casado,1,Urbana,Privado,30,23,53
2023,17,Alto Paraguay,2,Puerto Casado,1,Urbana,Oficial,324,348,672
2023,17,Alto Paraguay,2,Puerto Casado,2,Rural,Privado Subvencionado,83,94,177
2023,17,Alto Paraguay,2,Puerto Casado,2,Rural,Privado,28,23,51
2023,17,Alto Paraguay,2,Puerto Casado,2,Rural,Oficial,244,252,496
2023,17,Alto Paraguay,2,Puerto Casado,1,Urbana,Privado Subvencionado,167,141,308
2023,10,Alto Paraná,1,Ciudad del Este,2,Rural,Oficial,12,11,23
2023,10,Alto Paraná,1,Ciudad del Este,1,Urbana,Oficial,33446,35997,69443
2023,10,Alto Paraná,1,Ciudad del Este,1,Urbana,Privado,8669,9323,17992
2023,10,Alto Paraná,1,Ciudad del Este,1,Urbana,Privado Subvencionado,1570,1563,3133
2023,10,Alto Paraná,3,Domingo Martínez de Irala,2,Rural,Oficial,474,414,888
2023,10,Alto Paraná,3,Domingo Martínez de Irala,1,Urbana,Oficial,164,176,340
2023,10,Alto Paraná,4,Dr. Juan León Mallorquín,1,Urbana,Privado Subvencionado,475,535,1010
2023,10,Alto Paraná,4,Dr. Juan León Mallorquín,1,Urbana,Oficial,1089,1063,2152
2023,10,Alto Paraná,4,Dr. Juan León Mallorquín,1,Urbana,Privado,88,184,272
2023,10,Alto Paraná,4,Dr. Juan León Mallorquín,2,Rural,Oficial,595,561,1156
2023,10,Alto Paraná,22,Dr. Raúl Peña,1,Urbana,Oficial,114,116,230
2023,10,Alto Paraná,22,Dr. Raúl Peña,2,Rural,Oficial,700,651,1351
2023,10,Alto Paraná,5,Hernandarias,2,Rural,Privado,49,74,123
2023,10,Alto Paraná,5,Hernandarias,1,Urbana,Privado Subvencionado,348,383,731
2023,10,Alto Paraná,5,Hernandarias,2,Rural,Oficial,1520,1471,2991
2023,10,Alto Paraná,5,Hernandarias,2,Rural,Privado Subvencionado,357,370,727
2023,10,Alto Paraná,5,Hernandarias,1,Urbana,Oficial,7419,7245,14664
2023,10,Alto Paraná,5,Hernandarias,1,Urbana,Privado,1221,1250,2471
2023,10,Alto Paraná,19,Iruña,1,Urbana,Oficial,153,157,310
2023,10,Alto Paraná,19,Iruña,1,Urbana,Privado,51,28,79
2023,10,Alto Paraná,19,Iruña,2,Rural,Oficial,227,194,421
2023,10,Alto Paraná,6,Itakyry,2,Rural,Oficial,2907,2814,5721
2023,10,Alto Paraná,6,Itakyry,1,Urbana,Oficial,567,597,1164
2023,10,Alto Paraná,6,Itakyry,1,Urbana,Privado Subvencionado,181,175,356
2023,10,Alto Paraná,6,Itakyry,2,Rural,Privado,16,13,29
2023,10,Alto Paraná,7,Juan E. O'Leary,1,Urbana,Privado Subvencionado,3,48,51
2023,10,Alto Paraná,7,Juan E. O'Leary,1,Urbana,Oficial,648,634,1282
2023,10,Alto Paraná,7,Juan E. O'Leary,1,Urbana,Privado,39,92,131
2023,10,Alto Paraná,7,Juan E. O'Leary,2,Rural,Oficial,1646,1534,3180
2023,10,Alto Paraná,7,Juan E. O'Leary,2,Rural,Privado Subvencionado,38,13,51
2023,10,Alto Paraná,10,Los Cedrales,1,Urbana,Privado Subvencionado,97,76,173
2023,10,Alto Paraná,10,Los Cedrales,2,Rural,Oficial,845,844,1689
2023,10,Alto Paraná,10,Los Cedrales,2,Rural,Privado,3,15,18
2023,10,Alto Paraná,17,Mbaracayú,1,Urbana,Oficial,134,150,284
2023,10,Alto Paraná,17,Mbaracayú,2,Rural,Oficial,553,527,1080
2023,10,Alto Paraná,11,Minga Guazú,2,Rural,Privado Subvencionado,830,783,1613
2023,10,Alto Paraná,11,Minga Guazú,2,Rural,Privado,103,103,206
2023,10,Alto Paraná,11,Minga Guazú,1,Urbana,Oficial,4127,4081,8208
2023,10,Alto Paraná,11,Minga Guazú,1,Urbana,Privado,515,516,1031
2023,10,Alto Paraná,11,Minga Guazú,1,Urbana,Privado Subvencionado,940,1097,2037
2023,10,Alto Paraná,11,Minga Guazú,2,Rural,Oficial,5084,4743,9827
2023,10,Alto Paraná,16,Minga Porá,1,Urbana,Oficial,579,530,1109
2023,10,Alto Paraná,16,Minga Porá,2,Rural,Oficial,1238,1223,2461
2023,10,Alto Paraná,16,Minga Porá,1,Urbana,Privado,2,9,11
2023,10,Alto Paraná,8,Ñacunday,2,Rural,Oficial,730,756,1486
2023,10,Alto Paraná,8,Ñacunday,1,Urbana,Oficial,189,165,354
2023,10,Alto Paraná,14,Naranjal,2,Rural,Oficial,251,234,485
2023,10,Alto Paraná,14,Naranjal,1,Urbana,Oficial,343,377,720
2023,10,Alto Paraná,14,Naranjal,1,Urbana,Privado,41,28,69
2023,10,Alto Paraná,2,Presidente Franco,1,Urbana,Privado,780,811,1591
2023,10,Alto Paraná,2,Presidente Franco,2,Rural,Oficial,2271,2234,4505
2023,10,Alto Paraná,2,Presidente Franco,1,Urbana,Oficial,7101,7011,14112
2023,10,Alto Paraná,2,Presidente Franco,2,Rural,Privado,26,26,52
2023,10,Alto Paraná,2,Presidente Franco,1,Urbana,Privado Subvencionado,441,442,883
2023,10,Alto Paraná,18,San Alberto,1,Urbana,Oficial,835,901,1736
2023,10,Alto Paraná,18,San Alberto,1,Urbana,Privado,60,79,139
2023,10,Alto Paraná,18,San Alberto,1,Urbana,Privado Subvencionado,376,345,721
2023,10,Alto Paraná,18,San Alberto,2,Rural,Oficial,209,270,479
2023,10,Alto Paraná,12,San Cristóbal,1,Urbana,Oficial,202,239,441
2023,10,Alto Paraná,12,San Cristóbal,1,Urbana,Privado,144,155,299
2023,10,Alto Paraná,12,San Cristóbal,2,Rural,Oficial,764,745,1509
2023,10,Alto Paraná,12,San Cristóbal,2,Rural,Privado,77,87,164
2023,10,Alto Paraná,20,Santa Fe del Paraná,2,Rural,Oficial,189,179,368
2023,10,Alto Paraná,20,Santa Fe del Paraná,1,Urbana,Oficial,232,242,474
2023,10,Alto Paraná,20,Santa Fe del Paraná,2,Rural,Privado,63,57,120
2023,10,Alto Paraná,13,Santa Rita,2,Rural,Oficial,1292,1185,2477
2023,10,Alto Paraná,13,Santa Rita,1,Urbana,Privado,333,529,862
2023,10,Alto Paraná,13,Santa Rita,1,Urbana,Privado Subvencionado,548,533,1081
2023,10,Alto Paraná,13,Santa Rita,1,Urbana,Oficial,1491,1536,3027
2023,10,Alto Paraná,15,Santa Rosa del Monday,1,Urbana,Privado,48,52,100
2023,10,Alto Paraná,15,Santa Rosa del Monday,1,Urbana,Privado Subvencionado,101,92,193
2023,10,Alto Paraná,15,Santa Rosa del Monday,2,Rural,Oficial,181,172,353
2023,10,Alto Paraná,15,Santa Rosa del Monday,1,Urbana,Oficial,333,315,648
2023,10,Alto Paraná,21,Tavapy,2,Rural,Oficial,406,380,786
2023,10,Alto Paraná,21,Tavapy,1,Urbana,Oficial,493,482,975
2023,10,Alto Paraná,9,Yguazú,2,Rural,Privado Subvencionado,198,200,398
2023,10,Alto Paraná,9,Yguazú,1,Urbana,Oficial,567,662,1229
2023,10,Alto Paraná,9,Yguazú,2,Rural,Oficial,404,393,797
2023,10,Alto Paraná,9,Yguazú,2,Rural,Privado,53,63,116
2023,13,Amambay,2,Bella Vista,1,Urbana,Privado Subvencionado,180,187,367
2023,13,Amambay,2,Bella Vista,1,Urbana,Oficial,528,604,1132
2023,13,Amambay,2,Bella Vista,2,Rural,Oficial,394,405,799
2023,13,Amambay,3,Capitán Bado,2,Rural,Oficial,752,730,1482
2023,13,Amambay,3,Capitán Bado,1,Urbana,Privado,142,182,324
2023,13,Amambay,3,Capitán Bado,1,Urbana,Oficial,1064,1085,2149
2023,13,Amambay,6,Cerro Corá,2,Rural,Oficial,1130,1203,2333
2023,13,Amambay,5,Karapai,2,Rural,Oficial,256,253,509
2023,13,Amambay,5,Karapai,1,Urbana,Oficial,366,355,721
2023,13,Amambay,1,Pedro Juan Caballero,1,Urbana,Privado Subvencionado,1203,1210,2413
2023,13,Amambay,1,Pedro Juan Caballero,2,Rural,Privado,15,10,25
2023,13,Amambay,1,Pedro Juan Caballero,1,Urbana,Oficial,9095,9309,18404
2023,13,Amambay,1,Pedro Juan Caballero,1,Urbana,Privado,1756,1659,3415
2023,13,Amambay,1,Pedro Juan Caballero,2,Rural,Oficial,1692,1794,3486
2023,13,Amambay,4,Zanja Pyta,2,Rural,Oficial,232,236,468
2023,13,Amambay,4,Zanja Pyta,1,Urbana,Oficial,168,135,303
2023,16,Boquerón,6,Boquerón,1,Urbana,Oficial,5,18,23
2023,16,Boquerón,6,Boquerón,2,Rural,Privado Subvencionado,437,333,770
2023,16,Boquerón,6,Boquerón,2,Rural,Oficial,1234,1271,2505
2023,16,Boquerón,6,Boquerón,2,Rural,Privado,250,265,515
2023,16,Boquerón,4,Filadelfia,1,Urbana,Oficial,1233,1329,2562
2023,16,Boquerón,4,Filadelfia,2,Rural,Privado,81,85,166
2023,16,Boquerón,4,Filadelfia,2,Rural,Privado Subvencionado,16,14,30
2023,16,Boquerón,4,Filadelfia,1,Urbana,Privado Subvencionado,421,431,852
2023,16,Boquerón,4,Filadelfia,2,Rural,Oficial,163,154,317
2023,16,Boquerón,4,Filadelfia,1,Urbana,Privado,391,403,794
2023,16,Boquerón,5,Loma Plata,1,Urbana,Oficial,573,665,1238
2023,16,Boquerón,5,Loma Plata,2,Rural,Privado Subvencionado,246,267,513
2023,16,Boquerón,5,Loma Plata,2,Rural,Privado,241,224,465
2023,16,Boquerón,5,Loma Plata,2,Rural,Oficial,1136,1101,2237
2023,16,Boquerón,5,Loma Plata,1,Urbana,Privado,837,753,1590
2023,16,Boquerón,2,Mariscal Estigarribia,1,Urbana,Oficial,45,55,100
2023,16,Boquerón,2,Mariscal Estigarribia,2,Rural,Privado Subvencionado,527,520,1047
2023,16,Boquerón,2,Mariscal Estigarribia,1,Urbana,Privado,68,56,124
2023,16,Boquerón,2,Mariscal Estigarribia,2,Rural,Privado,158,127,285
2023,16,Boquerón,2,Mariscal Estigarribia,2,Rural,Oficial,719,675,1394
2023,16,Boquerón,2,Mariscal Estigarribia,1,Urbana,Privado Subvencionado,191,198,389
2023,5,Caaguazú,18,3 de Febrero,2,Rural,Oficial,572,532,1104
2023,5,Caaguazú,18,3 de Febrero,1,Urbana,Oficial,278,297,575
2023,5,Caaguazú,2,Caaguazú,2,Rural,Oficial,3932,3656,7588
2023,5,Caaguazú,2,Caaguazú,1,Urbana,Oficial,8379,7997,16376
2023,5,Caaguazú,2,Caaguazú,1,Urbana,Privado,391,834,1225
2023,5,Caaguazú,2,Caaguazú,1,Urbana,Privado Subvencionado,1179,1325,2504
2023,5,Caaguazú,3,Carayaó,1,Urbana,Oficial,442,426,868
2023,5,Caaguazú,3,Carayaó,2,Rural,Oficial,1175,1039,2214
2023,5,Caaguazú,1,Coronel Oviedo,2,Rural,Privado Subvencionado,114,110,224
2023,5,Caaguazú,1,Coronel Oviedo,2,Rural,Oficial,2855,2863,5718
2023,5,Caaguazú,1,Coronel Oviedo,2,Rural,Privado,230,95,325
2023,5,Caaguazú,1,Coronel Oviedo,1,Urbana,Privado,258,637,895
2023,5,Caaguazú,1,Coronel Oviedo,1,Urbana,Oficial,7520,7367,14887
2023,5,Caaguazú,1,Coronel Oviedo,1,Urbana,Privado Subvencionado,2666,2751,5417
2023,5,Caaguazú,4,Dr. Cecilio Báez,1,Urbana,Oficial,318,312,630
2023,5,Caaguazú,4,Dr. Cecilio Báez,1,Urbana,Privado Subvencionado,43,67,110
2023,5,Caaguazú,4,Dr. Cecilio Báez,2,Rural,Oficial,399,410,809
2023,5,Caaguazú,12,Dr. Juan Eulogio Estigarribia,1,Urbana,Privado Subvencionado,731,674,1405
2023,5,Caaguazú,12,Dr. Juan Eulogio Estigarribia,2,Rural,Privado,190,233,423
2023,5,Caaguazú,12,Dr. Juan Eulogio Estigarribia,2,Rural,Oficial,1895,1788,3683
2023,5,Caaguazú,12,Dr. Juan Eulogio Estigarribia,1,Urbana,Privado,180,211,391
