anio,codigo_departamento,nombre_departamento,codigo_distrito,nombre_distrito,codigo_zona,nombre_zona,sector_o_tipo_gestion,anho_cod_geo,cantidad_matriculados_hombre,cantidad_matriculados_mujer
2023,17,Alto Paraguay,4,Bahía Negra,1,Urbana,Oficial,,244,205
2023,17,Alto Paraguay,4,Bahía Negra,2,Rural,Privado,,11,18
2023,17,Alto Paraguay,4,Bahía Negra,2,Rural,Oficial,,88,105
2023,17,Alto Paraguay,5,Carmelo Peralta,2,Rural,Oficial,,347,337
2023,17,Alto Paraguay,5,Carmelo Peralta,1,Urbana,Oficial,,271,223
2023,17,Alto Paraguay,1,Fuerte Olimpo,1,Urbana,Oficial,,401,374
2023,17,Alto Paraguay,1,Fuerte Olimpo,2,Rural,Privado Subvencionado,,95,79
2023,17,Alto Paraguay,1,Fuerte Olimpo,2,Rural,Privado,,4,9
2023,17,Alto Paraguay,1,Fuerte Olimpo,2,Rural,Oficial,,235,235
2023,17,Alto Paraguay,1,Fuerte Olimpo,1,Urbana,Privado,,6,10
2023,17,Alto Paraguay,2,Puerto Casado,1,Urbana,Privado,,30,23
2023,17,Alto Paraguay,2,Puerto Casado,1,Urbana,Oficial,,324,348
2023,17,Alto Paraguay,2,Puerto Casado,2,Rural,Privado Subvencionado,,83,94
2023,17,Alto Paraguay,2,Puerto Casado,2,Rural,Privado,,28,23
2023,17,Alto Paraguay,2,Puerto Casado,2,Rural,Oficial,,244,252
2023,17,Alto Paraguay,2,Puerto Casado,1,Urbana,Privado Subvencionado,,167,141
2023,10,Alto Paraná,1,Ciudad del Este,2,Rural,Oficial,,12,11
2023,10,Alto Paraná,1,Ciudad del Este,1,Urbana,Oficial,,33446,35997
2023,10,Alto Paraná,1,Ciudad del Este,1,Urbana,Privado,,8669,9323
2023,10,Alto Paraná,1,Ciudad del Este,1,Urbana,Privado Subvencionado,,1570,1563
2023,10,Alto Paraná,3,Domingo Martínez de Irala,2,Rural,Oficial,,474,414
2023,10,Alto Paraná,3,Domingo Martínez de Irala,1,Urbana,Oficial,,164,176
2023,10,Alto Paraná,4,Dr. Juan León Mallorquín,1,Urbana,Privado Subvencionado,,475,535
2023,10,Alto Paraná,4,Dr. Juan León Mallorquín,1,Urbana,Oficial,,1089,1063
2023,10,Alto Paraná,4,Dr. Juan León Mallorquín,1,Urbana,Privado,,88,184
2023,10,Alto Paraná,4,Dr. Juan León Mallorquín,2,Rural,Oficial,,595,561
2023,10,Alto Paraná,22,Dr. Raúl Peña,1,Urbana,Oficial,,114,116
2023,10,Alto Paraná,22,Dr. Raúl Peña,2,Rural,Oficial,,700,651
2023,10,Alto Paraná,5,Hernandarias,2,Rural,Privado,,49,74
2023,10,Alto Paraná,5,Hernandarias,1,Urbana,Privado Subvencionado,,348,383
2023,10,Alto Paraná,5,Hernandarias,2,Rural,Oficial,,1520,1471
2023,10,Alto Paraná,5,Hernandarias,2,Rural,Privado Subvencionado,,357,370
2023,10,Alto Paraná,5,Hernandarias,1,Urbana,Oficial,,7419,7245
2023,10,Alto Paraná,5,Hernandarias,1,Urbana,Privado,,1221,1250
2023,10,Alto Paraná,19,Iruña,1,Urbana,Oficial,,153,157
2023,10,Alto Paraná,19,Iruña,1,Urbana,Privado,,51,28
2023,10,Alto Paraná,19,Iruña,2,Rural,Oficial,,227,194
2023,10,Alto Paraná,6,Itakyry,2,Rural,Oficial,,2907,2814
2023,10,Alto Paraná,6,Itakyry,1,Urbana,Oficial,,567,597
2023,10,Alto Paraná,6,Itakyry,1,Urbana,Privado Subvencionado,,181,175
2023,10,Alto Paraná,6,Itakyry,2,Rural,Privado,,16,13
2023,10,Alto Paraná,7,Juan E. O'Leary,1,Urbana,Privado Subvencionado,,3,48
2023,10,Alto Paraná,7,Juan E. O'Leary,1,Urbana,Oficial,,648,634
2023,10,Alto Paraná,7,Juan E. O'Leary,1,Urbana,Privado,,39,92
2023,10,Alto Paraná,7,Juan E. O'Leary,2,Rural,Oficial,,1646,1534
2023,10,Alto Paraná,7,Juan E. O'Leary,2,Rural,Privado Subvencionado,,38,13
2023,10,Alto Paraná,10,Los Cedrales,1,Urbana,Privado Subvencionado,,97,76
2023,10,Alto Paraná,10,Los Cedrales,2,Rural,Oficial,,845,844
2023,10,Alto Paraná,10,Los Cedrales,2,Rural,Privado,,3,15
2023,10,Alto Paraná,17,Mbaracayú,1,Urbana,Oficial,,134,150
2023,10,Alto Paraná,17,Mbaracayú,2,Rural,Oficial,,553,527
2023,10,Alto Paraná,11,Minga Guazú,2,Rural,Privado Subvencionado,,830,783
2023,10,Alto Paraná,11,Minga Guazú,2,Rural,Privado,,103,103
2023,10,Alto Paraná,11,Minga Guazú,1,Urbana,Oficial,,4127,4081
2023,10,Alto Paraná,11,Minga Guazú,1,Urbana,Privado,,515,516
2023,10,Alto Paraná,11,Minga Guazú,1,Urbana,Privado Subvencionado,,940,1097
2023,10,Alto Paraná,11,Minga Guazú,2,Rural,Oficial,,5084,4743
2023,10,Alto Paraná,16,Minga Porá,1,Urbana,Oficial,,579,530
2023,10,Alto Paraná,16,Minga Porá,2,Rural,Oficial,,1238,1223
2023,10,Alto Paraná,16,Minga Porá,1,Urbana,Privado,,2,9
2023,10,Alto Paraná,8,Ñacunday,2,Rural,Oficial,,730,756
2023,10,Alto Paraná,8,Ñacunday,1,Urbana,Oficial,,189,165
2023,10,Alto Paraná,14,Naranjal,2,Rural,Oficial,,251,234
2023,10,Alto Paraná,14,Naranjal,1,Urbana,Oficial,,343,377
2023,10,Alto Paraná,14,Naranjal,1,Urbana,Privado,,41,28
2023,10,Alto Paraná,2,Presidente Franco,1,Urbana,Privado,,780,811
2023,10,Alto Paraná,2,Presidente Franco,2,Rural,Oficial,,2271,2234
2023,10,Alto Paraná,2,Presidente Franco,1,Urbana,Oficial,,7101,7011
2023,10,Alto Paraná,2,Presidente Franco,2,Rural,Privado,,26,26
2023,10,Alto Paraná,2,Presidente Franco,1,Urbana,Privado Subvencionado,,441,442
2023,10,Alto Paraná,18,San Alberto,1,Urbana,Oficial,,835,901
2023,10,Alto Paraná,18,San Alberto,1,Urbana,Privado,,60,79
2023,10,Alto Paraná,18,San Alberto,1,Urbana,Privado Subvencionado,,376,345
2023,10,Alto Paraná,18,San Alberto,2,Rural,Oficial,,209,270
2023,10,Alto Paraná,12,San Cristóbal,1,Urbana,Oficial,,202,239
2023,10,Alto Paraná,12,San Cristóbal,1,Urbana,Privado,,144,155
2023,10,Alto Paraná,12,San Cristóbal,2,Rural,Oficial,,764,745
2023,10,Alto Paraná,12,San Cristóbal,2,Rural,Privado,,77,87
2023,10,Alto Paraná,20,Santa Fe del Paraná,2,Rural,Oficial,,189,179
2023,10,Alto Paraná,20,Santa Fe del Paraná,1,Urbana,Oficial,,232,242
2023,10,Alto Paraná,20,Santa Fe del Paraná,2,Rural,Privado,,63,57
2023,10,Alto Paraná,13,Santa Rita,2,Rural,Oficial,,1292,1185
2023,10,Alto Paraná,13,Santa Rita,1,Urbana,Privado,,333,529
2023,10,Alto Paraná,13,Santa Rita,1,Urbana,Privado Subvencionado,,548,533
